,anot,date,start_time,end_time,event_no,D001,D002,D004,ENTERHOME,M001,M002,M003,M004,M005,M006,M007,M008,M009,M010,M011,M012,M013,M014,M015,M016,M017,M018,M019,M020,M021,M022,M023,M024,M025,M026,M027,M028,M029,M030,M031,c,duration,weekday,season
716,Sleeping,2010-11-26 00:00:00.000000,2020-05-14 05:56:01.021823,2020-05-14 09:02:20.422201,717.0,,,,,,5.0,24.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 03:06:19.400378000,Friday,autumn
717,Meal_Preparation,2010-11-26 00:00:00.000000,2020-05-14 09:08:24.674360,2020-05-14 09:13:43.999843,718.0,,,,,,,,,,,,,,,,,,,17.0,9.0,3.0,2.0,30.0,,,,,,,,,,,,,,0 days 00:05:19.325483000,Friday,autumn
718,Meal_Preparation,2010-11-26 00:00:00.000000,2020-05-14 09:17:40.062529,2020-05-14 09:20:33.887586,719.0,,,,,,,,,,,,,,,,,,0.0,14.0,5.0,2.0,2.0,16.0,1.0,1.0,,,,,,,,,,,,0 days 00:02:53.825057000,Friday,autumn
719,Relax,2010-11-26 00:00:00.000000,2020-05-14 09:21:31.665790,2020-05-14 09:32:33.986882,720.0,,,,,,,,,,,,,22.0,1.0,,,1.0,,,,,,,2.0,,,,,,,,,,,,,0 days 00:11:02.321092000,Friday,autumn
720,Relax,2010-11-26 00:00:00.000000,2020-05-14 09:36:13.400446,2020-05-14 10:23:42.624639,721.0,,,,,,,,,,,,,112.0,1.0,,,6.0,,,,,,,5.0,,,,,,,,,,,,,0 days 00:47:29.224193000,Friday,autumn
721,Leave_Home,2010-11-26 00:00:00.000000,2020-05-14 11:21:43.762022,2020-05-14 11:21:48.305196,722.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,0 days 00:00:04.543174000,Friday,autumn
722,Enter_Home,2010-11-26 00:00:00.000000,2020-05-14 14:00:01.205777,2020-05-14 14:00:06.091601,723.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0 days 00:00:04.885824000,Friday,autumn
723,Leave_Home,2010-11-26 00:00:00.000000,2020-05-14 14:04:24.823939,2020-05-14 14:04:29.081371,724.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,0 days 00:00:04.257432000,Friday,autumn
724,Enter_Home,2010-11-26 00:00:00.000000,2020-05-14 14:05:00.661368,2020-05-14 14:05:04.554228,725.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0 days 00:00:03.892860000,Friday,autumn
725,Relax,2010-11-26 00:00:00.000000,2020-05-14 14:24:02.030231,2020-05-14 14:39:08.572194,726.0,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,0 days 00:15:06.541963000,Friday,autumn
726,Relax,2010-11-26 00:00:00.000000,2020-05-14 14:40:46.756877,2020-05-14 15:20:38.936595,727.0,,,,,,,,,,,,,55.0,,,,9.0,,,,,,,2.0,,,,,,,,,,,,,0 days 00:39:52.179718000,Friday,autumn
727,Meal_Preparation,2010-11-26 00:00:00.000000,2020-05-14 15:23:21.799750,2020-05-14 15:28:12.595271,728.0,,,,,,,,,,,,,,,,,,1.0,16.0,4.0,4.0,3.0,26.0,1.0,0.0,,,,,,,,,,,,0 days 00:04:50.795521000,Friday,autumn
728,Meal_Preparation,2010-11-26 00:00:00.000000,2020-05-14 15:28:45.571833,2020-05-14 15:34:47.043078,729.0,,,1.0,,,,,,,,,,,,,,,,18.0,2.0,15.0,4.0,23.0,0.0,0.0,1.0,,,,,,,,2.0,,,0 days 00:06:01.471245000,Friday,autumn
729,Eating,2010-11-26 00:00:00.000000,2020-05-14 15:41:55.390534,2020-05-14 16:07:32.401299,730.0,,,,,,,,1.0,,1.0,1.0,1.0,1.0,21.0,,5.0,6.0,28.0,,,,,,9.0,,,,,,,,,,,,,0 days 00:25:37.010765000,Friday,autumn
730,Relax,2010-11-26 00:00:00.000000,2020-05-14 16:09:41.346261,2020-05-14 16:41:53.202359,731.0,,,,,,,,,,,,,35.0,27.0,,1.0,9.0,,,,,,,3.0,,,,,,,,,,,,,0 days 00:32:11.856098000,Friday,autumn
731,Relax,2010-11-26 00:00:00.000000,2020-05-14 17:04:06.043371,2020-05-14 17:32:25.067957,732.0,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,0 days 00:28:19.024586000,Friday,autumn
732,Relax,2010-11-26 00:00:00.000000,2020-05-14 18:04:42.577510,2020-05-14 18:58:25.320828,733.0,,,,,,,,,,,,,33.0,,,,9.0,,,,,,,,,,,,,,,,,,,,0 days 00:53:42.743318000,Friday,autumn
733,Relax,2010-11-26 00:00:00.000000,2020-05-14 19:17:47.159927,2020-05-14 19:28:08.420230,734.0,,,,,,,,,,,,,10.0,1.0,,,2.0,,,,,,,1.0,,,,,,,,,,,,,0 days 00:10:21.260303000,Friday,autumn
734,Relax,2010-11-26 00:00:00.000000,2020-05-14 19:33:02.982337,2020-05-14 20:43:24.944898,735.0,,,,,,,,,,,,,56.0,,,1.0,7.0,,,,,,,2.0,,,,,,,,,,,,,0 days 01:10:21.962561000,Friday,autumn
735,Relax,2010-11-26 00:00:00.000000,2020-05-14 20:51:10.052061,2020-05-14 21:28:03.773705,736.0,,,,,,,,,,,,,45.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,0 days 00:36:53.721644000,Friday,autumn
736,Relax,2010-11-26 00:00:00.000000,2020-05-14 21:33:36.347670,2020-05-14 21:51:06.341918,737.0,,,,,,,,,,,,,17.0,,,,4.0,,,,,,,0.0,,,,,,,,,,,,,0 days 00:17:29.994248000,Friday,autumn
737,Relax,2010-11-26 00:00:00.000000,2020-05-14 21:53:39.647953,2020-05-14 22:17:15.269234,738.0,,,,,,,,,,,,,17.0,,,,1.0,,,,,,,,,,,,,,,,,,,,0 days 00:23:35.621281000,Friday,autumn
738,Relax,2010-11-26 00:00:00.000000,2020-05-14 22:19:52.765016,2020-05-14 22:30:03.319501,739.0,,,,,,,,,,,,,8.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,0 days 00:10:10.554485000,Friday,autumn
739,Relax,2010-11-26 00:00:00.000000,2020-05-14 22:33:33.668292,2020-05-14 23:10:44.636319,740.0,,,,,,,,,,,,,59.0,2.0,,3.0,4.0,,,,,,,1.0,,,,,,,,,,,,,0 days 00:37:10.968027000,Friday,autumn
740,Relax,2010-11-26 00:00:00.000000,2020-05-14 23:27:39.485446,2020-05-14 23:44:25.245832,741.0,,,,,,,,,,,,,14.0,,,,5.0,,,,,,,2.0,,,,,,,,,,,,,0 days 00:16:45.760386000,Friday,autumn
741,Sleeping,2010-11-27 00:00:00.000000,2020-05-14 23:55:39.135691,2020-05-14 05:24:21.115055,742.0,,,,,2.0,8.0,91.0,,2.0,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,-1 days +05:28:41.979364000,Saturday,autumn
742,Bed_to_Toilet,2010-11-27 00:00:00.000000,2020-05-14 05:24:28.031033,2020-05-14 05:28:37.699942,743.0,,,,,,,,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 00:04:09.668909000,Saturday,autumn
743,Sleeping,2010-11-27 00:00:00.000000,2020-05-14 05:29:43.640125,2020-05-14 08:53:03.315528,744.0,,,,,,9.0,32.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 03:23:19.675403000,Saturday,autumn
744,Meal_Preparation,2010-11-27 00:00:00.000000,2020-05-14 08:58:04.073679,2020-05-14 09:04:29.206968,745.0,,,,,,,,,,,,,,,,,,,27.0,,1.0,8.0,30.0,1.0,1.0,,,,,,,,,,,,0 days 00:06:25.133289000,Saturday,autumn
745,Meal_Preparation,2010-11-27 00:00:00.000000,2020-05-14 09:20:04.927860,2020-05-14 09:30:25.645463,746.0,,,,,,,,,,,,,,,,,,0.0,27.0,10.0,5.0,6.0,45.0,0.0,,,,,,,,,,,,,0 days 00:10:20.717603000,Saturday,autumn
746,Relax,2010-11-27 00:00:00.000000,2020-05-14 09:41:06.983887,2020-05-14 09:55:27.032467,747.0,,,,,,,,,,,,,28.0,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,0 days 00:14:20.048580000,Saturday,autumn
747,Relax,2010-11-27 00:00:00.000000,2020-05-14 10:27:28.178024,2020-05-14 10:58:29.434379,748.0,,,,,,,,,,,,,95.0,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,0 days 00:31:01.256355000,Saturday,autumn
748,Relax,2010-11-27 00:00:00.000000,2020-05-14 14:47:37.555124,2020-05-14 14:59:11.447331,749.0,,,,,,,,,,,,,18.0,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,0 days 00:11:33.892207000,Saturday,autumn
749,Relax,2010-11-27 00:00:00.000000,2020-05-14 15:01:22.586579,2020-05-14 15:53:00.089667,750.0,,,,,,,,,,,,,22.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,0 days 00:51:37.503088000,Saturday,autumn
750,Relax,2010-11-27 00:00:00.000000,2020-05-14 16:52:14.607701,2020-05-14 17:54:32.460062,751.0,,,,,,,,,,,,,21.0,,,,5.0,1.0,,,,,,1.0,,,,,,,,,,,,,0 days 01:02:17.852361000,Saturday,autumn
751,Meal_Preparation,2010-11-27 00:00:00.000000,2020-05-14 17:54:36.722469,2020-05-14 18:01:16.300983,752.0,,,,,,,,,,,,,,,,,,1.0,23.0,4.0,3.0,5.0,29.0,,0.0,,,,,,,,,,,,0 days 00:06:39.578514000,Saturday,autumn
752,Meal_Preparation,2010-11-27 00:00:00.000000,2020-05-14 18:02:05.454455,2020-05-14 18:03:03.023535,753.0,,,,,,,,,,,,,,,,,,1.0,3.0,,1.0,2.0,6.0,,,,,,,,,,,,,,0 days 00:00:57.569080000,Saturday,autumn
753,Meal_Preparation,2010-11-27 00:00:00.000000,2020-05-14 18:05:05.024816,2020-05-14 18:06:59.939235,754.0,,,,,,,,,,,,,,,,,,1.0,4.0,,2.0,6.0,13.0,0.0,,,,,,,,,,,,,0 days 00:01:54.914419000,Saturday,autumn
754,Meal_Preparation,2010-11-27 00:00:00.000000,2020-05-14 18:09:19.511927,2020-05-14 18:10:26.815507,755.0,,,,,,,,,,,,,,,,,,1.0,6.0,1.0,1.0,4.0,6.0,,0.0,,,,,,,,,,,,0 days 00:01:07.303580000,Saturday,autumn
755,Relax,2010-11-27 00:00:00.000000,2020-05-14 18:22:15.276869,2020-05-14 18:35:25.619861,756.0,,,,,,,,,,,,,11.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,0 days 00:13:10.342992000,Saturday,autumn
756,Relax,2010-11-27 00:00:00.000000,2020-05-14 18:40:30.011128,2020-05-14 19:28:48.240188,757.0,,,,,,,,,,,,,29.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,0 days 00:48:18.229060000,Saturday,autumn
757,Relax,2010-11-27 00:00:00.000000,2020-05-14 19:29:32.779420,2020-05-14 19:33:28.531583,758.0,,,,,,,,,,,,,6.0,1.0,,,0.0,,,,,,,0.0,,,,,,,,,,,,,0 days 00:03:55.752163000,Saturday,autumn
758,Relax,2010-11-27 00:00:00.000000,2020-05-14 19:36:33.806910,2020-05-14 19:39:21.211269,759.0,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,0 days 00:02:47.404359000,Saturday,autumn
759,Relax,2010-11-27 00:00:00.000000,2020-05-14 19:44:18.296630,2020-05-14 20:38:42.574453,760.0,,,,,,,,,,,,,28.0,,,,1.0,,,,,,,0.0,,,,,,,,,,,,,0 days 00:54:24.277823000,Saturday,autumn
760,Relax,2010-11-27 00:00:00.000000,2020-05-14 20:48:10.846505,2020-05-14 21:21:12.720778,761.0,,,,,,,,,,,,,40.0,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,0 days 00:33:01.874273000,Saturday,autumn
761,Relax,2010-11-27 00:00:00.000000,2020-05-14 21:25:30.839286,2020-05-14 22:30:52.921576,762.0,,,,,,,,,,,,,49.0,3.0,,,4.0,,,,,,,0.0,,,,,,,,,,,,,0 days 01:05:22.082290000,Saturday,autumn
762,Relax,2010-11-27 00:00:00.000000,2020-05-14 22:31:36.052278,2020-05-14 22:37:39.993572,763.0,,,,,,,,,,,,,3.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,0 days 00:06:03.941294000,Saturday,autumn
763,Relax,2010-11-27 00:00:00.000000,2020-05-14 22:43:06.838861,2020-05-14 23:23:47.532840,764.0,,,,,,,,,,,,,33.0,1.0,,,5.0,,,,,,,,,,,,,,,,,,,,0 days 00:40:40.693979000,Saturday,autumn
764,Sleeping,2010-11-27 00:00:00.000000,2020-05-14 23:31:39.503157,2020-05-14 23:44:39.967041,765.0,,,,,,1.0,14.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 00:13:00.463884000,Saturday,autumn
765,Bed_to_Toilet,2010-11-27 00:00:00.000000,2020-05-14 23:44:41.585013,2020-05-14 23:45:51.790310,766.0,,,,,,,,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 00:01:10.205297000,Saturday,autumn
766,Sleeping,2010-11-28 00:00:00.000000,2020-05-14 23:46:44.919839,2020-05-14 05:21:06.686886,767.0,,,,,,5.0,27.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,-1 days +05:34:21.767047000,Sunday,autumn
767,Bed_to_Toilet,2010-11-28 00:00:00.000000,2020-05-14 05:21:15.685275,2020-05-14 05:24:58.548113,768.0,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 00:03:42.862838000,Sunday,autumn
768,Sleeping,2010-11-28 00:00:00.000000,2020-05-14 05:25:27.817005,2020-05-14 08:18:04.658426,769.0,,,,,,10.0,22.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 02:52:36.841421000,Sunday,autumn
769,Relax,2010-11-28 00:00:00.000000,2020-05-14 08:19:15.626925,2020-05-14 08:29:25.560137,770.0,,,,,,,,,,,,,,,,4.0,,,,,,,,2.0,,,,,,,,,,,,,0 days 00:10:09.933212000,Sunday,autumn
770,Meal_Preparation,2010-11-28 00:00:00.000000,2020-05-14 08:40:34.643421,2020-05-14 08:43:45.095516,771.0,,,,,,,,,,,,,,,,,,,15.0,2.0,,3.0,21.0,1.0,1.0,,,,,,,,,,,,0 days 00:03:10.452095000,Sunday,autumn
771,Meal_Preparation,2010-11-28 00:00:00.000000,2020-05-14 08:45:05.648481,2020-05-14 09:02:59.005794,772.0,,,,,,,,,,,,,,,,,,1.0,44.0,14.0,27.0,19.0,92.0,3.0,1.0,,,,,,,,,,,,0 days 00:17:53.357313000,Sunday,autumn
772,Relax,2010-11-28 00:00:00.000000,2020-05-14 10:22:05.372745,2020-05-14 10:42:16.513025,773.0,,,,,,,,,,,,,30.0,1.0,,,2.0,,,,,,,2.0,,,,,,,,,,,,,0 days 00:20:11.140280000,Sunday,autumn
773,Meal_Preparation,2010-11-28 00:00:00.000000,2020-05-14 10:43:59.000757,2020-05-14 10:46:59.976139,774.0,,,,,,,,,,,,,,,,,,,6.0,,4.0,5.0,13.0,0.0,1.0,1.0,,,,,,,,,,,0 days 00:03:00.975382000,Sunday,autumn
774,Eating,2010-11-28 00:00:00.000000,2020-05-14 10:48:32.686639,2020-05-14 11:11:44.955369,775.0,,,,,,,,,,,,,,,,,,13.0,,,,,,0.0,1.0,,,,,,,,,,,,0 days 00:23:12.268730000,Sunday,autumn
775,Housekeeping,2010-11-28 00:00:00.000000,2020-05-14 14:47:13.072483,2020-05-14 15:48:09.639575,776.0,,,,,,,2.0,2.0,3.0,4.0,3.0,4.0,3.0,5.0,,10.0,11.0,13.0,5.0,,7.0,8.0,14.0,18.0,16.0,13.0,8.0,42.0,,,,,6.0,2.0,5.0,,0 days 01:00:56.567092000,Sunday,autumn
776,Meal_Preparation,2010-11-28 00:00:00.000000,2020-05-14 17:06:52.862281,2020-05-14 17:54:02.450165,777.0,,,,,,,,,,,,,,,,,3.0,6.0,104.0,14.0,42.0,82.0,177.0,5.0,4.0,1.0,1.0,,,,,,,,,,0 days 00:47:09.587884000,Sunday,autumn
777,Relax,2010-11-28 00:00:00.000000,2020-05-14 17:55:03.555216,2020-05-14 18:27:49.101212,778.0,,,,,,,,,,,,,43.0,,,,2.0,,,,,,,,,,,,,,,,,,,,0 days 00:32:45.545996000,Sunday,autumn
778,Relax,2010-11-28 00:00:00.000000,2020-05-14 18:30:23.385904,2020-05-14 18:35:32.339600,779.0,,,,,,,,,,,,,6.0,,,,1.0,,,,,,,,,,,,,,,,,,,,0 days 00:05:08.953696000,Sunday,autumn
779,Relax,2010-11-28 00:00:00.000000,2020-05-14 18:36:09.676914,2020-05-14 18:41:51.829672,780.0,,,,,,,,,,,,,4.0,,,,1.0,,,,,,,0.0,,,,,,,,,,,,,0 days 00:05:42.152758000,Sunday,autumn
780,Relax,2010-11-28 00:00:00.000000,2020-05-14 18:42:43.011040,2020-05-14 18:54:26.353859,781.0,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,0 days 00:11:43.342819000,Sunday,autumn
781,Relax,2010-11-28 00:00:00.000000,2020-05-14 18:57:49.782583,2020-05-14 19:28:14.059145,782.0,,,,,,,,,,,,,10.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,0 days 00:30:24.276562000,Sunday,autumn
782,Relax,2010-11-28 00:00:00.000000,2020-05-14 19:30:21.764920,2020-05-14 19:47:25.358226,783.0,,,,,,,,,,,,,7.0,,,,3.0,,,,,,,1.0,,,,,,,,,,,,,0 days 00:17:03.593306000,Sunday,autumn
783,Relax,2010-11-28 00:00:00.000000,2020-05-14 19:52:34.082208,2020-05-14 20:23:34.780317,784.0,,,,,,,,,,,,,35.0,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,0 days 00:31:00.698109000,Sunday,autumn
784,Relax,2010-11-28 00:00:00.000000,2020-05-14 20:31:46.238962,2020-05-14 21:37:26.902338,785.0,,,,,,,,,,,,,37.0,,,,8.0,,,,,,,2.0,,,,,,,,,,,,,0 days 01:05:40.663376000,Sunday,autumn
785,Meal_Preparation,2010-11-28 00:00:00.000000,2020-05-14 21:37:38.982378,2020-05-14 21:41:03.302664,786.0,,,,,,,,,,,,,,,,,,1.0,11.0,,,6.0,15.0,,,,,,,,,,,,,,0 days 00:03:24.320286000,Sunday,autumn
786,Meal_Preparation,2010-11-28 00:00:00.000000,2020-05-14 21:43:22.444381,2020-05-14 21:47:13.076962,787.0,,,,,,,,,,,,,,,,,,3.0,7.0,2.0,2.0,10.0,17.0,,,,,,,,,,,,,,0 days 00:03:50.632581000,Sunday,autumn
787,Eating,2010-11-28 00:00:00.000000,2020-05-14 21:47:14.074734,2020-05-14 21:53:24.113710,788.0,,,,,,,,,,,,,,,,,,4.0,,,,0.0,0.0,3.0,,,,,,,,,,,,,0 days 00:06:10.038976000,Sunday,autumn
788,Relax,2010-11-28 00:00:00.000000,2020-05-14 22:01:51.255324,2020-05-14 23:28:06.204440,789.0,,,,,,,,,,,,,18.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,0 days 01:26:14.949116000,Sunday,autumn
789,Relax,2010-11-29 00:00:00.000000,2020-05-14 23:34:04.056165,2020-05-14 00:14:15.430587,790.0,,,,,,,,,,,,,23.0,1.0,,,0.0,,,,,,,1.0,,,,,,,,,,,,,-1 days +00:40:11.374422000,Monday,autumn
790,Sleeping,2010-11-29 00:00:00.000000,2020-05-14 00:34:53.274222,2020-05-14 01:38:47.158242,791.0,,,,,,,36.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 01:03:53.884020000,Monday,autumn
791,Bed_to_Toilet,2010-11-29 00:00:00.000000,2020-05-14 01:38:51.469559,2020-05-14 01:39:31.011821,792.0,,,,,,,,2.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 00:00:39.542262000,Monday,autumn
792,Sleeping,2010-11-29 00:00:00.000000,2020-05-14 01:39:48.281856,2020-05-14 06:38:23.410495,793.0,,,,,,5.0,15.0,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 04:58:35.128639000,Monday,autumn
793,Sleeping,2010-11-29 00:00:00.000000,2020-05-14 07:01:13.235633,2020-05-14 07:13:16.850229,794.0,,,,,,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 00:12:03.614596000,Monday,autumn
794,Meal_Preparation,2010-11-29 00:00:00.000000,2020-05-14 07:18:16.850388,2020-05-14 07:31:07.656336,795.0,,,,,,,,,,,,,,,,,,,35.0,13.0,10.0,11.0,59.0,,1.0,,,,,,,,,,,,0 days 00:12:50.805948000,Monday,autumn
795,Leave_Home,2010-11-29 00:00:00.000000,2020-05-14 10:37:46.224818,2020-05-14 10:37:51.028145,796.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,0 days 00:00:04.803327000,Monday,autumn
796,Enter_Home,2010-11-29 00:00:00.000000,2020-05-14 10:39:12.554594,2020-05-14 10:39:17.057812,797.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,0 days 00:00:04.503218000,Monday,autumn
797,Leave_Home,2010-11-29 00:00:00.000000,2020-05-14 10:39:45.143819,2020-05-14 10:39:48.823632,798.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0 days 00:00:03.679813000,Monday,autumn
798,Enter_Home,2010-11-29 00:00:00.000000,2020-05-14 14:40:20.190451,2020-05-14 14:40:25.270033,799.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0 days 00:00:05.079582000,Monday,autumn
799,Relax,2010-11-29 00:00:00.000000,2020-05-14 14:43:48.887769,2020-05-14 14:55:01.662513,800.0,,,,,,,,,,,,,,17.0,,0.0,,,,,,,,,,,,,,,,,,,,,0 days 00:11:12.774744000,Monday,autumn
800,Relax,2010-11-29 00:00:00.000000,2020-05-14 15:00:36.746547,2020-05-14 15:09:07.295100,801.0,,,,,,,,,,,,,1.0,16.0,,,,,,,,,,0.0,,,,,,,,,,,,,0 days 00:08:30.548553000,Monday,autumn
801,Meal_Preparation,2010-11-29 00:00:00.000000,2020-05-14 15:17:04.531642,2020-05-14 15:27:03.981729,802.0,,,,,,,,,,,,,1.0,,,,,3.0,40.0,13.0,10.0,15.0,56.0,3.0,,,,,,,,,,,,,0 days 00:09:59.450087000,Monday,autumn
802,Relax,2010-11-29 00:00:00.000000,2020-05-14 15:28:00.752122,2020-05-14 16:13:52.048757,803.0,,,,,,,,,,,,,60.0,,,,3.0,0.0,,,,,,2.0,,,,,,,,,,,,,0 days 00:45:51.296635000,Monday,autumn
803,Leave_Home,2010-11-29 00:00:00.000000,2020-05-14 16:55:21.902560,2020-05-14 16:55:29.912044,804.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0 days 00:00:08.009484000,Monday,autumn
804,Enter_Home,2010-11-29 00:00:00.000000,2020-05-14 18:29:54.945144,2020-05-14 18:29:59.174009,805.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0 days 00:00:04.228865000,Monday,autumn
805,Meal_Preparation,2010-11-29 00:00:00.000000,2020-05-14 18:37:25.110363,2020-05-14 18:45:57.409952,806.0,,,,,,,,,,,,,,,,,,4.0,32.0,4.0,10.0,18.0,41.0,3.0,,,,,,,,,,,,,0 days 00:08:32.299589000,Monday,autumn
806,Meal_Preparation,2010-11-29 00:00:00.000000,2020-05-14 18:48:09.893097,2020-05-14 18:56:23.447039,807.0,,,,,,,,,,,,,,,,,,7.0,8.0,1.0,5.0,7.0,10.0,3.0,1.0,,,,,,,,,,,,0 days 00:08:13.553942000,Monday,autumn
807,Relax,2010-11-29 00:00:00.000000,2020-05-14 18:58:51.859953,2020-05-14 19:10:14.044289,808.0,,,,,,,,,,,,,36.0,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,0 days 00:11:22.184336000,Monday,autumn
808,Meal_Preparation,2010-11-29 00:00:00.000000,2020-05-14 19:14:41.994939,2020-05-14 19:16:07.411477,809.0,,,,,,,,,,,,,,,,,,1.0,5.0,4.0,,3.0,7.0,0.0,,,,,,,,,,,,,0 days 00:01:25.416538000,Monday,autumn
809,Eating,2010-11-29 00:00:00.000000,2020-05-14 19:16:12.704749,2020-05-14 19:24:07.514023,810.0,,,,,,,,,,,,,,,,,1.0,5.0,,,,,,3.0,,,,,,,,,,,,,0 days 00:07:54.809274000,Monday,autumn
810,Relax,2010-11-29 00:00:00.000000,2020-05-14 19:24:24.122823,2020-05-14 20:16:12.669997,811.0,,,,,,,,,,,,,40.0,,,,5.0,,,,,,,0.0,,,,,,,,,,,,,0 days 00:51:48.547174000,Monday,autumn
811,Relax,2010-11-29 00:00:00.000000,2020-05-14 20:21:44.485176,2020-05-14 21:37:10.762763,812.0,,,,,,,,,,,,,34.0,,,,,,,,,,,2.0,,,,,,,,,,,,,0 days 01:15:26.277587000,Monday,autumn
812,Wash_Dishes,2010-11-29 00:00:00.000000,2020-05-14 21:42:09.471928,2020-05-14 21:44:08.699926,813.0,,,,,,,,,,,,,,,,,,1.0,25.0,,,4.0,4.0,,,,,,,,,,,,,,0 days 00:01:59.227998000,Monday,autumn
813,Relax,2010-11-29 00:00:00.000000,2020-05-14 21:44:23.209140,2020-05-14 22:04:54.696392,814.0,,,,,,,,,,,,,24.0,,,,,,,,,,,1.0,,,,,,,,,,,,,0 days 00:20:31.487252000,Monday,autumn
814,Relax,2010-11-29 00:00:00.000000,2020-05-14 22:06:20.210496,2020-05-14 23:22:27.894427,815.0,,,,,,,,,,,,,53.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,0 days 01:16:07.683931000,Monday,autumn
815,Relax,2010-11-30 00:00:00.000000,2020-05-14 23:36:38.039322,2020-05-14 00:05:37.070398,816.0,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,-1 days +00:28:59.031076000,Tuesday,autumn
816,Sleeping,2010-11-30 00:00:00.000000,2020-05-14 00:17:22.177399,2020-05-14 00:39:07.144354,817.0,,,,,,,24.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 00:21:44.966955000,Tuesday,autumn
817,Bed_to_Toilet,2010-11-30 00:00:00.000000,2020-05-14 00:39:09.024296,2020-05-14 00:40:14.176605,818.0,,,,,,,,3.0,0.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 00:01:05.152309000,Tuesday,autumn
818,Sleeping,2010-11-30 00:00:00.000000,2020-05-14 00:40:54.753738,2020-05-14 06:03:34.571930,819.0,,,,,,2.0,4.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 05:22:39.818192000,Tuesday,autumn
819,Bed_to_Toilet,2010-11-30 00:00:00.000000,2020-05-14 06:03:43.446509,2020-05-14 06:06:26.452756,820.0,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 00:02:43.006247000,Tuesday,autumn
820,Sleeping,2010-11-30 00:00:00.000000,2020-05-14 06:06:37.235985,2020-05-14 08:43:18.689230,821.0,,,,,,2.0,5.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 02:36:41.453245000,Tuesday,autumn
821,Meal_Preparation,2010-11-30 00:00:00.000000,2020-05-14 08:56:20.990429,2020-05-14 09:12:33.436300,822.0,,,,,,,,,,,,,,,,,,,54.0,12.0,28.0,23.0,82.0,0.0,3.0,1.0,,,,,,,,,,,0 days 00:16:12.445871000,Tuesday,autumn
